Date,Province_State,Weekly_Avg_Pct_Home,Elapsed_Days,Incident_Rate_Last_week,Incident_Rate_Pct_Change_Last_week
2020-05-10,Iowa,31.539752111424626,66,379.0407185894449,0.30343324250681203
2020-05-10,Kansas,32.615333250790705,61,238.59426069417853,0.3481380915438326
2020-05-10,Virginia,36.71036022708797,63,282.1269567790781,0.2896850899742929
2020-05-10,Maine,32.94520401903268,63,106.82838718892556,0.21181434599156113
2020-05-10,Vermont,35.443056464229365,64,148.56031115933135,0.03344481605351168
2020-05-10,Kentucky,30.72650736328522,61,144.14662845736473,0.25536062378167634
2020-05-10,Maryland,41.72973172987376,63,539.0129811700256,0.2798287644332733
2020-05-10,Louisiana,29.423762433676433,65,679.746187936054,0.07702794819359249
2020-05-10,Georgia,30.19287753508902,64,316.2726021182353,0.17146345717774292
2020-05-10,Illinois,39.13622983423615,64,613.4950927731697,0.26410185531472075
2020-05-10,Alabama,24.707052753363445,62,201.68523113037747,0.25367647058823506
2020-05-10,Alaska,30.065828260933806,60,51.80815944336985,0.029891304347826164
2020-05-10,Arizona,34.78000343169383,59,152.760438412429,0.2869212962962966
2020-05-10,Wisconsin,35.82770415115275,63,175.5107915349491,0.28314917127071815
2020-05-10,Arkansas,27.91353122050868,63,132.94435291357556,0.16729706139074763
2020-05-10,California,41.410400501623975,66,171.08629904219765,0.2312624082472725
2020-05-10,Colorado,36.338659177096424,67,342.141053175558,0.1844304177938083
2020-05-10,Connecticut,39.18241401009721,64,941.1304054904977,0.14569604261276337
2020-05-10,Delaware,38.49355932829206,64,644.6120415213543,0.2052611367127497
2020-05-10,West Virginia,30.19276187791961,56,75.88663206757035,0.13807531380753146
2020-05-10,District of Columbia,46.335487668805705,0,888.7012238061974,0.2503987240829346
2020-05-10,Florida,34.62293199340808,63,189.0143267887115,0.12522867121237313
2020-05-10,Washington,40.31516557206981,74,221.81532951283754,0.11234771155745804
2020-05-10,Hawaii,35.66760262569507,61,44.636803326854405,0.019354838709677358
2020-05-10,Idaho,31.96633889648848,60,124.78561216295992,0.08199902959728278
2020-05-10,Indiana,32.76052581743614,60,358.36623853145596,0.2103546882054883
2020-05-10,Massachusetts,42.111954202008796,68,1128.661097427161,0.14255291024718364
2020-05-10,Rhode Island,38.203968781885564,65,1064.2264534941346,0.18961696739474498
2020-05-10,Michigan,38.08327025276594,62,472.4409291131334,0.07719001849272855
2020-05-10,New Mexico,34.79602659652639,63,231.92163023308052,0.2631168831168831
2020-05-10,South Dakota,30.106617463122962,67,397.55431188740516,0.3367540858988973
2020-05-10,New Jersey,43.2129291123805,64,1562.1597826662119,0.09475793725935744
2020-05-10,Tennessee,28.927064648338312,63,219.42624393521092,0.13720877286180477
2020-05-10,North Dakota,29.91558137166465,60,195.65337203534622,0.2518891687657434
2020-05-10,New Hampshire,36.402564300993845,64,225.85681810325872,0.21961874503574275
2020-05-10,Ohio,34.47106355622379,61,206.01243893884046,0.2092497740283219
2020-05-10,Nevada,38.466463278016654,65,198.6912351192602,0.11842105263157898
2020-05-10,Nebraska,32.53586020734873,66,422.4031331549497,0.44338456103161983
2020-05-10,Oklahoma,28.41997967600636,59,115.97254566687498,0.15533736153071498
2020-05-10,New York,44.31488883670048,70,1724.0802339479133,0.05998451400850158
2020-05-10,South Carolina,27.65874875554167,63,148.63905821919803,0.15499547238152744
2020-05-10,Texas,32.96828975749807,60,135.39164407523953,0.22688918057378604
2020-05-10,Oregon,38.86469215412588,66,76.5339327701087,0.20447761194029845
2020-05-10,Montana,31.183880503772674,63,42.852678479534575,0.00659340659340657
2020-05-10,Missouri,32.1942391326477,59,164.04265760836626,0.168252494778371
2020-05-10,Utah,32.73392338707629,63,194.9807202714446,0.20792270531400958
2020-05-10,Puerto Rico,52.33557109258154,57,68.82312456985547,0.21570796460176989
2020-05-10,Minnesota,37.10679645221488,63,199.85346561619622,0.6915803692030615
2020-05-10,Pennsylvania,38.53649199499476,63,468.20068350316507,0.17011224987798945
2020-05-10,Mississippi,25.06707529741283,61,319.2380489014495,0.25841059602648997
2020-05-10,North Carolina,31.06690074258055,61,142.42830244303917,0.269158878504673
2020-05-10,Wyoming,31.769046676972334,63,114.38267050706771,0.12969283276450505
2020-05-17,Oregon,36.96131497477275,73,85.89914449383639,0.12236679058240396
2020-05-17,Delaware,38.10618951017768,71,787.6651837611578,0.22192129998406873
2020-05-17,South Dakota,28.01070209002093,74,450.6821272377266,0.13363662212112604
2020-05-17,Rhode Island,36.95089059207154,72,1196.3815922995088,0.12417952811779331
2020-05-17,West Virginia,29.315803404299096,63,83.25209929765806,0.09705882352941186
2020-05-17,Puerto Rico,51.43612341074226,64,82.85076779428461,0.20382165605095537
2020-05-17,Oklahoma,25.909214335183666,66,134.19355360451212,0.15711483983438645
2020-05-17,North Carolina,32.42824698889785,68,178.04014536878233,0.2500334716829562
2020-05-17,Alabama,24.092996393264354,69,240.0684453064692,0.19031246839923166
2020-05-17,Connecticut,37.30371543475697,71,1049.5368255066142,0.11518745902127914
2020-05-17,North Dakota,28.234994944694186,67,249.32354585322454,0.27431254191817556
2020-05-17,Arizona,33.39128213535459,66,191.58596219635962,0.2541595467218276
2020-05-17,Wisconsin,32.701566164038034,70,215.42537021458725,0.22741951267247318
2020-05-17,Pennsylvania,36.70898829797884,70,513.2015032976517,0.09611438295600538
2020-05-17,Alaska,30.838060244033027,67,53.03843235891162,0.0237467018469657
2020-05-17,Ohio,32.52442117101679,68,238.88066660393017,0.15954486939911128
2020-05-17,California,39.39319033217032,73,202.8891161097162,0.18588757396449695
2020-05-17,Arkansas,25.437827095963,70,157.69745152435348,0.18619142572283165
2020-05-17,South Carolina,28.208332595833756,70,171.22722295314907,0.15196654906572582
2020-05-17,Colorado,34.541779398011144,74,380.95165327946967,0.11343450236004671
2020-05-17,Washington,38.66421357139758,81,242.06512159790032,0.09129122017642533
2020-05-17,District of Columbia,46.847867407969225,0,1009.2823369214835,0.1356823979591839
2020-05-17,Maryland,41.10885770102427,70,641.8467401516455,0.1907816000245497
2020-05-17,Utah,31.55010870731519,70,225.7671497879885,0.1578947368421053
2020-05-17,Maine,31.19937478174604,70,125.50103703880043,0.17479108635097496
2020-05-17,Michigan,34.677044374394924,69,512.0930438875814,0.08393031240727389
2020-05-17,Vermont,32.15758272841834,71,150.64368121873943,0.014023732470334282
2020-05-17,Minnesota,33.71265085770117,70,277.8195456724836,0.39011622748647
2020-05-17,Louisiana,26.990484867847005,72,740.6652133865256,0.0896202531645569
2020-05-17,Mississippi,23.33157121932407,68,379.550889421195,0.18892748131775616
2020-05-17,Kentucky,29.426232159019058,68,172.08063347518942,0.19378881987577623
2020-05-17,Kansas,29.189634214417456,68,272.9880816142716,0.1441519205869659
2020-05-17,Missouri,28.87796237951188,66,180.9878665786385,0.10329757647993643
2020-05-17,Texas,30.921200000475505,67,166.90646509412838,0.23276784349686674
2020-05-17,Virginia,36.70435672518791,70,356.018187060447,0.2619077280843818
2020-05-17,New York,42.20476178713209,77,1799.7784570136027,0.04390643867678401
2020-05-17,Iowa,29.354012841721993,73,464.36370666894874,0.2251024333138223
2020-05-17,Indiana,30.76682981173814,67,412.6128398378009,0.1513719638564206
2020-05-17,Nebraska,30.11316466580856,73,526.1041104048371,0.24550238648880196
2020-05-17,Illinois,36.386016800321535,71,743.3106891266851,0.21160005659819148
2020-05-17,Nevada,36.864480470345974,72,225.6054563470162,0.13545751633986924
2020-05-17,Idaho,31.083639770340206,67,135.3616124763229,0.08475336322869964
2020-05-17,New Hampshire,33.3582361217931,71,264.4679641482639,0.1709540866167374
2020-05-17,Hawaii,34.15007336203595,68,45.20182615377661,0.012658227848101111
2020-05-17,Tennessee,28.286657966700428,70,254.1888667648533,0.15842509175842512
2020-05-17,Georgia,29.722903311068137,71,353.937108844585,0.11908874329958308
2020-05-17,Massachusetts,40.074019211942684,75,1247.8775852545875,0.1056264702479659
2020-05-17,New Jersey,41.90685762716992,71,1649.413038901442,0.055854245643368605
2020-05-17,Florida,33.73151696703153,70,212.25699895664053,0.12296778007685472
2020-05-17,New Mexico,33.17726850646137,70,283.1895209385219,0.22105696072383307
2020-05-17,Montana,30.47984616464753,70,43.788326481271135,0.02183406113537112
2020-05-17,Wyoming,30.926863978676582,70,130.27875160472666,0.13897280966767367
